name,line,longitude,latitude
Addison - Blue Line,Blue Line,-87.71906,41.94738
Austin - Blue Line,Blue Line,-87.7768,41.8708
Belmont - Blue Line,Blue Line,-87.711684,41.939274
California - Blue Line,Blue Line,-87.69689,41.921939
Chicago - Blue Line,Blue Line,-87.655214,41.896075
Cicero - Blue Line,Blue Line,-87.745154,41.871574
Clinton - Blue Line,Blue Line,-87.640984,41.875539
Clark/Lake - Blue Line,Blue Line,-87.630886,41.885767
LaSalle - Blue Line,Blue Line,-87.631722,41.875568
Cumberland - Blue Line,Blue Line,-87.838028,41.984246
Damen - Blue Line,Blue Line,-87.677437,41.909744
O'Hare - Blue Line,Blue Line,-87.900876,41.981127
Division - Blue Line,Blue Line,-87.666496,41.903355
Forest Park - Blue Line,Blue Line,-87.8173,41.8743
Grand - Blue Line,Blue Line,-87.647578,41.891189
Harlem - Blue Line,Blue Line,-87.80705,41.982456
Harlem - Blue Line,Blue Line,-87.807,41.8735
Illinois Medical District station - Blue Line,Blue Line,-87.673932,41.875706
Irving Park - Blue Line,Blue Line,-87.729263,41.952964
Jefferson Park Transit Center - Blue Line,Blue Line,-87.761232,41.970766
Kedzie–Homan - Blue Line,Blue Line,-87.70604,41.874341
Laramie - Blue Line,Blue Line,-87.7538,41.8518
Logan Square station - Blue Line,Blue Line,-87.708541,41.929728
Monroe - Blue Line,Blue Line,-87.629378,41.880703
Montrose - Blue Line,Blue Line,-87.743574,41.961539
Oak Park - Blue Line,Blue Line,-87.7916,41.8721
Pulaski - Blue Line,Blue Line,-87.725663,41.873797
Racine - Blue Line,Blue Line,-87.659458,41.87592
Rosemont - Blue Line,Blue Line,-87.8594,41.9835
UIC–Halsted - Blue Line,Blue Line,-87.649707,41.875474
Washington station - Blue Line,Blue Line,-87.62944,41.883164
Western - Blue Line,Blue Line,-87.687364,41.916157
Western - Blue Line,Blue Line,-87.688436,41.875478
Jackson station - Blue Line,Blue Line,-87.627596,41.878153
Jackson station - Blue Line,Blue Line,-87.629296,41.878183
Sox–35th - Red Line,Red Line,-87.630636,41.831191
Sheridan station - Red Line,Red Line,-87.655269,41.953883
Roosevelt station - Red Line,Red Line,-87.626666666,41.8675
North/Clybourn - Red Line,Red Line,-87.649177,41.910655
Harrison station - Red Line,Red Line,-87.627479,41.874039
Grand - Red Line,Red Line,-87.628021,41.891665
Fullerton station - Red Line,Red Line,-87.652866,41.925051
Clark/Division - Red Line,Red Line,-87.631412,41.90392
Chicago - Red Line,Red Line,-87.6282,41.896679
Cermak–Chinatown - Red Line,Red Line,-87.630968,41.853206
Belmont station - Red Line,Red Line,-87.653345,41.939562
